順位,title
1,統計学入門
2,化学の基礎７７講
3,線型代数入門
4,微分積分学
5,基礎物理学　１
6,まなざしのレッスン　１
7,相対性理論入門講義
8,振動・波動
9,量子論の基礎
10,演習化学熱力学
11,入門微分積分
12,化学熱力学
13,解析入門　１
14,線型代数演習
15,思考の整理学
16,単位が取れる量子化学ノート
17,熱力学
18,工科系の数学　４
19,基礎物理学　３
20,量子化学
21,工科系の数学　５
22,哲学の謎
23,単位が取れる電磁気学ノート
24,熱力学
25,工科系の数学　６
26,熱学・統計力学
27,心理統計学の基礎
28,お笑いジェンダー論
29,熱力学入門
30,解析演習
31,プロテスタンティズムの倫理と資本主義の精神
32,数理系のための基礎と応用微分積分　１
33,プログラミング言語Ｃ
34,電磁気学
35,微分積分学の基礎
36,電気磁気学基礎論
37,道具としての微分方程式
38,理科系の作文技術
39,古典ギリシア語初歩
40,理論電磁気学
41,ファインマン物理学　３
42,数理系のための基礎と応用微分積分　２
43,ノルウェイの森　上
44,言語の脳科学
45,方法序説
46,多様体の基礎
47,ノルウェイの森　下
48,解析入門　２
49,論理哲学論考
50,人間失格
51,新・演習力学
52,日本の外交
53,カラマーゾフの兄弟　上巻
54,講座数学の考え方　７
55,異邦人
56,日本の思想
57,知の技法
58,ファインマン物理学　１
59,電磁気学の考え方
60,職業としての学問
61,工業熱力学　基礎編
62,無限論の教室
63,歴史とは何か
64,砂の女
65,線形代数演習
66,風の歌を聴け
67,動物化するポストモダン
68,演習微分積分
69,はじめての構造主義
70,相対性理論
71,人間の条件
72,代数学１群と環
73,複素解析
74,博友社ロシア語辞典
75,ソクラテスの弁明／クリトン
76,論理学
77,アンドロイドは電気羊の夢を見るか？
78,ゼロから始めるドイツ語
79,カラマーゾフの兄弟　中巻
80,カラマーゾフの兄弟　下巻
81,経済学の考え方
82,レポートの組み立て方
83,永遠平和のために
84,電磁気学
85,武士道
86,国家　上
87,ポケットプログレッシブ西和・和西辞典
88,三四郎
89,変身
90,罪と罰　上巻
91,マッカーリ・サイモン物理化学　上
92,新・演習電磁気学
93,微分積分読本　続（多変数）
94,経済の文明史
95,箱男
96,知的複眼思考法
97,微分積分読本　１変数
98,グレート・ギャツビー
99,明解演習線形代数
100,西の魔女が死んだ
101,君主論
102,君たちはどう生きるか
103,こころ
104,ツァラトゥストラはこう言った　上
105,若きウェルテルの悩み
106,ねじまき鳥クロニクル　第３部
107,ねじまき鳥クロニクル　第２部
108,オリエンタリズム　上
109,新訳ハムレット
110,オーデュボンの祈り
111,斜陽
112,必携ドイツ文法総まとめ
113,力学演習
114,現代スペイン語辞典
115,罪と罰　下巻
116,痴人の愛
117,国家　下
118,羊をめぐる冒険　下
119,詳解力学演習
120,車輪の下
121,死に至る病
122,ニコマコス倫理学　上
123,社会契約論
124,善の研究
125,夜と霧
126,論理トレーニング１０１題
127,量子力学　１
128,読書について
129,すべてがＦになる
130,論語
131,檸檬
132,複素解析概論
133,小学館伊和中辞典
134,振動と波
135,オリエンタリズム　下
136,ファインマン物理学　５
137,曲線と曲面の微分幾何
138,複素関数入門
139,神の子どもたちはみな踊る
140,それから
141,明解演習微分積分
142,学問のすゝめ
143,キッチン
144,微分方程式入門
145,沈黙
146,演習量子力学
147,壁
148,電磁気学演習
149,詳解電磁気学演習
150,共産党宣言
151,解説がくわしいフランス文法問題集
152,饗宴
153,ツァラトゥストラはこう言った　下
154,講座数学の考え方　２０
155,演習熱力学・統計力学
156,数値解析入門
157,ダンス・ダンス・ダンス　上
158,純粋理性批判　上
159,ライ麦畑でつかまえて
160,社会学の根本概念
161,ニコマコス倫理学　下
162,知識人とは何か
163,三四郎
164,新編銀河鉄道の夜
165,自然科学の統計学
166,大衆の反逆
167,完訳統治二論
168,ドグラ・マグラ　上
169,自殺について
170,日本人の英語
171,ダンス・ダンス・ダンス　下
172,エチカ　上
173,失敗の本質
174,ペスト
175,ぼくは勉強ができない
176,バカの壁
177,沈黙の春
178,エチカ　下
179,存在の耐えられない軽さ
180,文明論之概略
181,伝奇集
182,しっかり学ぶイタリア語
183,春琴抄
184,パスポート初級アラビア語辞典
185,悲しき熱帯　１
186,死者の奢り／飼育
187,アリストテレース詩学／ホラーティウス詩論
188,ドグラ・マグラ　下
189,数学の基礎
190,これがニーチェだ
191,演習ベクトル解析
192,解析入門　１
193,悪霊　上巻
194,これが現象学だ
195,道徳の系譜
196,フーコー入門
197,坊っちゃん
198,教養主義の没落
199,社会科学と社会政策にかかわる認識の「客観性」
200,坂の上の雲　１
201,孫子
202,風土
203,罪と罰　上
204,城
205,審判
206,形而上学　上
207,「いき」の構造
208,ヴィヨンの妻
209,善悪の彼岸
210,精神分析入門　上巻
211,研究社露和辞典（携帯版）
212,三酔人経綸問答
213,パイドン
214,量子力学　２
215,スペイン語ミニ辞典
216,哲学マップ
217,イリアス　上
218,ポケットプログレッシブ独和・和独辞典
219,パイドロス
220,演習と応用線形代数
221,門
222,若きウェルテルの悩み
223,流体力学
224,きらきらひかる
225,草枕
226,悲しき熱帯　２
227,幸福論
228,眼球譚
229,ホーキング、宇宙を語る
230,統計でウソをつく法
231,解析力学と微分形式
232,ハムレット
233,罪と罰　中
234,燃えよ剣　下巻
235,社会科学のリサーチ・デザイン
236,文鳥／夢十夜
237,あなたの人生の物語
238,オデュッセイア　上
239,演習と応用微分方程式
240,カフカ寓話集
241,言語学
242,性の歴史　１
243,メノン
244,パスポート初級露和辞典
245,イリアス　下
246,純粋理性批判　中
247,マクベス
248,ドイツ重要単語４０００
249,オデュッセイア　下
250,ドイツ・イデオロギー
251,解析力学　１
252,刺青／秘密
253,形而上学　下
254,表徴の帝国
255,シュナの旅
256,罪と罰　下
257,生の短さについて
258,独和大辞典　コンパクト版
259,晩年
260,幸福論
261,代表的日本人
262,ゾウの時間ネズミの時間
263,奔馬
264,ギリシア悲劇　２
265,悲劇の誕生
266,純粋理性批判　下
267,ファインマン物理学　４
268,ロイヤル英文法
269,自我論集
270,夜間飛行
271,細雪　上巻
272,はつ恋
273,忠誠と反逆
274,阿部一族／舞姫
275,電磁場とベクトル解析
276,郁文堂独和辞典
277,阿Ｑ正伝／狂人日記
278,彼岸過迄
279,ボッコちゃん
280,物理学とは何だろうか　上
281,プラグマティズム
282,茶の本
283,デカルト的省察
284,偏微分方程式入門
285,くずし字用例辞典　普及版
286,集合・位相演習
287,自由からの逃走
288,可換環論
289,精神分析入門　下巻
290,暁の寺
291,ウィトゲンシュタインはこう考えた
292,ドストエフスキーの詩学
293,白痴　上巻
294,不道徳教育講座
295,ゴルギアス
296,貨幣論
297,ロジカル・シンキング
298,萩原朔太郎詩集
299,複素解析
300,時間の比較社会学
301,詩的私的ジャック
302,魔の山　上巻
303,河童／或阿呆の一生
304,文学部唯野教授
305,ゲージ場の量子論　１
306,万延元年のフットボール
307,人文・社会科学の統計学
308,民族とナショナリズム
309,アクロイド殺し
310,モオツァルト／無常という事
311,アリストテレス入門
312,水中都市／デンドロカカリヤ
313,はじめてのドイツ語
314,オセロー
315,野火
316,古寺巡礼
317,シュルレアリスム宣言／溶ける魚
318,山月記・李陵
319,岩波哲学・思想事典
320,ヰタ・セクスアリス
321,群・環・体入門
322,外套／鼻
323,津軽
324,わが闘争　上
325,にごりえ／たけくらべ
326,存在の彼方へ
327,芽むしり仔撃ち
328,個人的な体験
329,近代科学を超えて
330,ヴィルヘルム・マイスターの修業時代　上
331,ハーメルンの笛吹き男
332,帝国
333,ベンヤミン「複製技術時代の芸術作品」精読
334,野生の思考
335,位相への３０講
336,ゲージ場の量子論　２
337,固体物理の基礎　上・１
338,明るい部屋
339,統計力学
340,ルベーグ積分３０講
341,スペクタクルの社会
342,物語の構造分析
343,人間失格／グッド・バイ
344,わが闘争　下
345,雪国
346,ニーチェ全集　８
347,意志と表象としての世界　１
348,バガヴァッド・ギーター
349,日はまた昇る
350,物質の対称性と群論
351,ジンメル・コレクション
352,オネーギン
353,狭き門
354,イワン・デニーソヴィチの一日
355,宗教的経験の諸相　上
356,ヴェニスに死す
357,車輪の下
358,近代能楽集
359,行人
360,群論への３０講
361,空想より科学へ
362,はじめての哲学史
363,フランス語基本単語２０００
364,グラフ理論入門
365,青い花
366,鹿鳴館
367,知識の哲学
368,ハサミ男
369,ヴィルヘルム・マイスターの修業時代　中
370,ヴィルヘルム・マイスターの修業時代　下
371,ニーチェ
372,グーテンベルクの銀河系
373,ツァラトストラかく語りき　上巻
374,新文学入門
375,人はなんで生きるか
376,モーパッサン短篇選
377,枕草子
